sku,description,image,small_image,thumbnail
0216093,"In 1935 Paul Sperry invented the first sailing shoe, and we've been busy re-inventing it ever since! We work with the US Sailing Team to be sure we design shoes for even the most extreme conditions. When it comes to world class sailing shoes, Sperry Top-Sider provides the ultimate in high performance footwear.",SEB/1D_0216093.jpg,SEB/1D_0216093.jpg,SEB/1D_0216093.jpg
0216093,"In 1935 Paul Sperry invented the first sailing shoe, and we've been busy re-inventing it ever since! We work with the US Sailing Team to be sure we design shoes for even the most extreme conditions. When it comes to world class sailing shoes, Sperry Top-Sider provides the ultimate in high performance footwear.",SEB/2R_0216093.jpg,SEB/2R_0216093.jpg,SEB/2R_0216093.jpg
0216093,"In 1935 Paul Sperry invented the first sailing shoe, and we've been busy re-inventing it ever since! We work with the US Sailing Team to be sure we design shoes for even the most extreme conditions. When it comes to world class sailing shoes, Sperry Top-Sider provides the ultimate in high performance footwear.",SEB/7S_0216093.jpg,SEB/7S_0216093.jpg,SEB/7S_0216093.jpg
