sku,description,image,small_image,thumbnail
B69556,,/1D_B69556.jpg,,
B70829,,/1D_B70829.jpg,,
B73104,,/1D_B73104.jpg,,
5050973008,TEST TEST TEST TEST,/1D_5050973008.jpg,,
5050973134,,/1D_5050973134.jpg,,
