SPR_m_VLAD,'-3036961314136270486,1042793
SPR_m_RYLAN,'-3037091974749686643,1042770
SPR_m_RYLAN,'-3037091933939211025,1042770
SPR_m_NIGEL,'-3036799829936790753,1042736
SPR_m_NIGEL,'-3036799897462025907,1042736
SPR_m_ERIC,'-3036799995943558566,1042693
SPR_m_EDDIE,'-3036799799904629895,1042683
SPR_m_CRAIG,'-3036799809852860690,1042656
SPR_m_CRAIG,'-3036799828349156601,1042656
SPR_m_CHAD,'-3037074442269593589,1042638
SPR_m_CHAD,'-3036799946809504705,1042638
SPR_m_BLAINE,'-3036802038021141398,1042595
SPR_m_BLAINE,'-3036802345577886017,1042595
SPR_m_BECKHAM,'-3036802286123591971,1042578
SPR_m_BECKHAM,'-3036800042002021475,1042578
SPR_m_BECKHAM,'-3036800014863409450,1042578
SPR_m_ALEX,'-3037092188041439412,1042534
SPR_m_ALEX,'-3037092530773856115,1042534
SPR_m_ADAM,'-3036802453140315675,1042517
SPR_m_ADAM,'-3036802364307751154,1042517
SPR_f_ZURICH,'-3037074518956625872,1042500
SPR_f_ZURICH,'-3036961507252172580,1042500
SPR_f_YVONNE,'-3036732118952359692,1042419
SPR_f_YVONNE,'-3033986068130992694,1042419
SPR_f_YVONNE,'-3033985825296711590,1042419
SPR_f_YVONNE,'-3036743638985032489,1042419
SPR_f_YVONNE,'-3033985917984597975,1042419
SPR_f_YVONNE,'-3036742414957725150,1042419
SPR_f_YUKON,'-3037006916697807551,1042370
SPR_f_YUKON,'-3037006962865268968,1042370
SPR_f_WEEKEND,'-3036800397178094081,1042289
SPR_f_WEEKEND,'-3036800330271802135,1042289
SPR_f_WALES,'-3036800242549249095,1042252
SPR_f_WALES,'-3036800245730303692,1042252
SPR_f_VOYAGE,'-3037051433451452038,1042181
SPR_f_VIEW,'-3037074663925368846,1042166
SPR_f_VIEW,'-3037074711426395489,1042166
SPR_f_VENTURE,'-3034040820539908016,1042121
SPR_f_VELOCITY,'-3037051496838076266,1042106
SPR_f_UPTOWN,'-3036800535044867826,1042062
SPR_f_UPTOWN,'-3036800305798156716,1042062
SPR_f_UPTOWN,'-3036800227063529646,1042062
SPR_f_TWILA,'-3036732126702168787,1042012
SPR_f_TWILA,'-3033987361640478081,1042012
SPR_f_TWILA,'-3033987395228354862,1042012
SPR_f_TWILA,'-3033987379520477063,1042012
SPR_f_TULIPA,'-3037091677562507108,1042001
SPR_f_TROPIC,'-3037091801103870633,1041972
SPR_f_TROPIC,'-3037091720145728877,1041972
SPR_f_TOYA,'-3036732093385376358,1041915
SPR_f_TOYA,'-3036732173672309291,1041915
SPR_f_TOYA,'-3036732308583347339,1041915
SPR_f_TENDER,'-3037051755077058578,1041786
SPR_f_TENDER,'-3037051431790517299,1041786
SPR_f_TENDER,'-3037051687047328762,1041786
SPR_f_TENDER,'-3037051625438885961,1041786
SPR_f_TENDER,'-3037051559056307451,1041786
SPR_f_TENDER,'-3037051493811011949,1041786
SPR_f_TAWNEY,'-3036800594442702939,1041737
SPR_f_TAWNEY,'-3036800285817536253,1041737
SPR_f_TARRAGON,'-3036732274788294671,1041715
SPR_f_TARRAGON,'-3036732122747163987,1041715
SPR_f_SWEDEN,'-3037263478414402327,1041624
SPR_f_SWEDEN,'-3034040856991872995,1041624
SPR_f_SWEDEN,'-3037263530605797768,1041624
SPR_f_SUNSHINE,'-3037091911820082412,1041598
SPR_f_SUNSHINE,'-3037091873293554216,1041598
SPR_f_SUNSHINE,'-3037091952479094098,1041598
SPR_f_SUMMIT,'-3034040967793463434,1041573
SPR_f_SUMMIT,'-3034040918950991217,1041573
SPR_f_STRIDE,'-3037051561932922267,1041556
SPR_f_STAR,'-3037091650403797708,1041508
SPR_f_STAR,'-3037091776887693043,1041508
SPR_f_STAR,'-3037091694122644878,1041508
SPR_f_STAR,'-3037091610356221877,1041508
SPR_f_STAR,'-3037091735526979223,1041508
SPR_f_SPARKLE,'-3037051690791451962,1041452
SPR_f_SPARKLE,'-3037051622358831349,1041452
SPR_f_SONG,'-3033987317254047731,1041396
SPR_f_SONG,'-3033987362544885920,1041396
SPR_f_SOHO,'-3036800449423056923,1041367
SPR_f_SOHO,'-3036800648664854373,1041367
SPR_f_SKY,'-3033987433155211126,1041335
SPR_f_SKY,'-3033987370713646989,1041335
SPR_f_SKY,'-3033987497811017100,1041335
SPR_f_SKY,'-3033987582186861037,1041335
SPR_f_SINTRA,'-3036800570265224587,1041311
SPR_f_SINTRA,'-3036800728322834862,1041311
SPR_f_SICILY,'-3036801008126627149,1041294
SPR_f_SICILY,'-3036800531546079858,1041294
SPR_f_SIAM,'-3037051490150202624,1041249
SPR_f_SIAM,'-3037051746752631465,1041249
SPR_f_SIAM,'-3037051815103129009,1041249
SPR_f_SHAUNA,'-3036732375143624057,1041185
SPR_f_SESAME,'-3037051619654108084,1041151
SPR_f_SESAME,'-3037051555400260456,1041151
SPR_f_SESAME,'-3037272409580684855,1041151
SPR_f_SESAME,'-3037051685622932593,1041151
